0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/files/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/data.js HTTP/1.1" 200 112034
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/files/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/styles.css HTTP/1.1" 200 83147
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u57.png HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u69_menu.png HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/6.jpg HTTP/1.1" 200 10126
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/5.jpg HTTP/1.1" 200 16567
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/4.jpg HTTP/1.1" 200 19285
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/7.jpg HTTP/1.1" 200 16477
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u155.png HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/8.jpg HTTP/1.1" 200 13887
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u232_menu.png HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u244.png HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/img/3.jpg HTTP/1.1" 200 17509
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u30.png HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u36.png HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:12:55 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u71_selected.png HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/allCoursesLogged.jsp HTTP/1.1" 200 32764
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/files/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/styles.css HTTP/1.1" 200 83147
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u30.png HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/files/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/data.js HTTP/1.1" 200 112034
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u36.png HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u57.png HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u69_menu.png HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/1.jpg HTTP/1.1" 200 18510
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/2.jpg HTTP/1.1" 200 10187
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/3.jpg HTTP/1.1" 200 17509
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/4.jpg HTTP/1.1" 200 19285
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/7.jpg HTTP/1.1" 200 16477
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/6.jpg HTTP/1.1" 200 10126
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/5.jpg HTTP/1.1" 200 16567
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/img/8.jpg HTTP/1.1" 200 13887
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u155.png HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u244.png HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u232_menu.png HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:03 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u71_selected.png HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:13:06 +0800] "GET /CLWebDemo/images/%E5%85%A8%E9%83%A8%E8%AF%BE%E7%A8%8B/u238_selected.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:14:16 +0800] "GET /CLWebDemo/allCoursesLogged.jsp HTTP/1.1" 200 32764
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:14:18 +0800] "GET /CLWebDemo/allCoursesLogged.jsp HTTP/1.1" 200 32764
0:0:0:0:0:0:0:1 - - [10/Aug/2019:16:14:51 +0800] "GET /CLWebDemo/css/bootstrap.min.css.map HTTP/1.1" 404 1117
